parent_key_name,key_to,key_from,default_value,fields_for_computation,to_compute,type
child_healths.child,following_experience,,,,,array
child_healths,date_updated,,,,,date
family_planning_and_maternal_healths,are_you_pregnant,,,,,boolean
family_planning_and_maternal_healths.is_pregnant,how_many_parental_visit_did_you_have,,,,,string
family_planning_and_maternal_healths.is_pregnant,did_you_give_birth_less_than_6_weeks_ago,,,,,boolean
family_planning_and_maternal_healths.is_pregnant,did_you_experience_the_following,,,,,array
family_planning_and_maternal_healths.is_pregnant,do_you_intend_to_practice_family_planning,,,,,boolean
family_planning_and_maternal_healths.not_pregnant,have_you_been_pregnant_ever_since,,,,,boolean
family_planning_and_maternal_healths.not_pregnant,how_long_has_it_been_since_your_last_delivery,,,,,string
family_planning_and_maternal_healths.not_pregnant,when_was_your_last_delivery_date,,,,,string
family_planning_and_maternal_healths.not_pregnant,what_type_is_the_place_of_delivery,,,,,string
family_planning_and_maternal_healths.not_pregnant,what_childbirth_support_did_you_received,,,,,string
family_planning_and_maternal_healths.not_pregnant,did_you_experience_any_of_the_following_after_delivery,,,,,array
family_planning_and_maternal_healths.not_pregnant,do_you_have_spouse_right_now,,,,,boolean
family_planning_and_maternal_healths.not_pregnant,are_you_both_using_any_family_method,,,,,boolean
family_planning_and_maternal_healths.not_pregnant,family_planning_methods_you_are_using,,,,,array
family_planning_and_maternal_healths.not_pregnant,are_you_willing_to_use_any_family_planning_method,,,,,boolean
family_planning_and_maternal_healths,date_updated,,,,,date
dental_health,date_updated,,,,,date
disability,date_updated,,,,,date
,type,,user-resident,,,string
family_planning_and_maternal_healths,no_ANC_why_not,pregnancy/not_rec_ANC_local_health_cente,,,,string
,family_members,,,,,array
